,ID,dd_sentiment_np,ndtv_sentiment_np,tn_sentiment_np
10,10,"{'personnel': 0.0, 'lives': 0.0, 'Defence Minister Nirmala': 0.0, 'forces personnel': 0.0, 'Ex servicemen': 0.0, 'forces': 0.0, 'erstwhile': 0.0, 'national war memorial': 0.0, 'Union Defence Minister': 0.0, 'previous governments': 0.0}","{'Controversy': 0.0, 'terror': -0.895572, 'BJP chief Amit': -0.31668466666666667, 'military action': -0.785296, 'Mr Pitroda': -0.9298533333333333, 'Modi': -0.9666939999999999, 'deterrent action': -0.785296, 'recent air strikes': -0.5409316666666667, 'forces': -0.4184286666666666, 'PM Modi leaders': -0.9666939999999999, 'Mumbai terror attacks': -0.6723471999999999, 'Navjot Singh Sidhu': -0.970353, 'ANI': -0.383392, 'PM Modi': -0.9666939999999999, 'terrorists': -0.915628, 'world': -0.925431, 'armed forces': -0.4184286666666666, 'attack': -0.6224605, 'Sam Pitroda': -0.9298533333333333, 'Pakistan': -0.836011, 'military': -0.961719, 'citizen': -0.718715, 'New India': -0.736603, 'remark': -0.961719, 'Nirmala Sitharaman': -0.3044365, 'BJP BJP': 0.0, 'terrorist camp': -0.915628, 'Air Force': -0.5756162, 'Mumbai attacks': -0.6224605, 'attacks': -0.6224605, 'Highlights Union Minister': -0.815454}","{'national capital': 0.0, 'crime': -0.3641505, 'riots': -0.1814595, 'leader Sajjan Kumar': 0.13502275000000002, 'CBI': 0.0, 'enmity': -0.728301, 'verdict': 0.58096, 'Chief Justice Ranjan': -0.013622999999999977, 'conviction': -0.728301, 'sentences': -0.3641505, 'witnesses': 0.0, 'Supreme Court': -0.05893639999999998, 'Sikhs': 0.0, 'Anti-Sikh riots': -0.1814595, 'political patronage': 0.0, 'bench': 0.0, 'Kumar': 0.18003033333333338, 'humanity': 0.0, 'apex court': -0.05893639999999998, 'matter': 0.0, 'anti-Sikh riots case': -0.32824933333333334, 'Justice Sanjiv Khanna': -0.013622999999999977, 'judgment': 0.0}"
11,11,"{'VIJAY SANKALP': -0.54439, 'Shakumbari Devi temple': -0.867708, 'similar offensive': -0.809097, 'Saharanpur': -0.826074, 'Vijay Sankalp Sabhas': -0.54439, 'SUSHMA SWARAJ': -0.815966, 'Mumbai terror attack': -0.809097, 'NOIDA': -0.824073, 'president Amit Shah': 0.0, 'previous government': -0.812378, 'Uttar Pradesh Chief': -0.8367739999999999, 'public meeting': -0.867708, 'CM': 0.0, 'Minister Mahesh Sharma': -0.8357735, 'gathering': -0.824073, 'obeisance': -0.867708}","{'MLA Janardhan Paswan': 0.0, 'Annapaurna Devi': -0.4625005, 'Sources': -0.925001, 'Twitter': -0.715425, 'Legislative Assembly': 0.0, 'secretary Bhupendra Yadav': 0.0, 'Rashtriya Janata Dal': -0.4625005, 'RJD': 0.0}","{'Congress PC Sharma': 0.38679600000000003, 'seats': 0.29896833333333334, 'elections': 0.36033, 'state': 0.6369145, 'PC Sharma luck': 0.0, 'Madhya Pradesh Chief': 0.5163992000000001, 'minister Digvijaya Singh': 0.7394042, 'Digvijaya Singh': 0.6274700000000001, 'Congress': 0.38679600000000003, 'votes': -0.26943225, 'landslide victory': -0.461656, 'Sanjar': -0.230828, 'Madhya Pradesh chief': 0.5163992000000001, 'Madhya Pradesh': 0.47256675000000004, 'phases': -0.616073, 'toughest seat': 0.29896833333333334, 'development': 0.691729}"
12,12,"{'candidates': 0.309628, 'total': -0.800489, 'Narendra Singh Tomar': 0.643529, 'Karnataka': 0.928884, 'electoral environment': 0.0, 'names': -0.800489, 'Minister': 0.425202, 'Minister Uma Bharti': 0.425202, 'Union Minister': 0.425202, 'BJP': -0.4002445, 'desire': 0.0, 'Lok Sabha polls': 0.0, 'Lok Sabha election': 0.0}","{'candidates': -0.1334058, 'Ms Mufti': -0.18689475, 'Abdul Qayoom Wani': 0.0, 'Jammu': -0.34110075, 'Twitter': -0.715425, 'PDP chief': -0.1269602, 'secular vote': -0.498273, 'parliamentary board': -0.2900635, 'Mehbooba Mufti': -0.18689475, 'secular votes': -0.498273, 'Kashmir chief minister': 0.0, 'PDP': -0.15870025, 'Lok Sabha elections': -0.30119942857142856, 'Aga Mohsin': 0.0, 'employees': 0.0, 'unilateral decision': -0.21526966666666666, 'Mehbooba': 0.0, 'decision': -0.21526966666666666}","{'NCP': 0.0, 'president Rahul Gandhi': -0.4676445, 'MP Ashok Chavan': -0.708421, 'Congress president': -0.19626285714285713, 'shock waves': -0.708421, 'Aurangabad Abdul Sattar': -0.558988, 'Congress': -0.19626285714285713, 'Fadnavis': 0.5077440000000001, 'political sides': 0.015163999999999992, 'Ranjitsingh Naik Nimbalkar': 0.617196, 'frame': -0.708421}"
13,13,"{'list': 0.0, 'Minister Uma Bharti': 0.846868, 'BJP': 0.846868, 'Nadda': 0.846868, 'party Vice President': 0.0}","{'Upendra Kushwahas': 0.0, 'phase': 0.0, 'Bhagalpur': 0.0, 'opposition Grand Alliance': -0.275874, 'date': -0.396872, 'phases': 0.0, 'Bihar Congress spokesman': -0.2143382857142857, 'Bihar': -0.183916, 'RJD': 0.0, 'evening': -0.514959, 'opposition': -0.275874, 'Mukesh Sahnis': 0.0, 'state': 0.0, 'Congress kitty': -0.189724, 'Twitter': 0.0, 'place': 0.0, 'Congress': -0.189724, 'Prakash Narayan Yadav': 0.0, 'announcement': -0.396872, 'Lalu Prasad': 0.0, 'RJD nominees': 0.0, 'Mukesh Sahnis VIP': 0.0}","{'Puri': 0.0, 'absolute majority': 0.0, 'party': 0.06777199999999999, 'Prime Minister Modi': 0.7582682000000001, 'Andhra Pradesh': 0.596109, 'minister JP Nadda': 0.7582682000000001, 'president Amit Shah': 0.4049745, 'names': 0.8043785, 'Amit Shah': 0.4049745, 'BJP BJP': -0.02349533333333335, 'Bharatiya Janata Party': 0.06777199999999999, 'government': 0.0, 'Daman': 0.596109, 'list': 0.270468, 'Sambit Patra': -0.869294, 'National Democratic Alliance': -0.434647, 'BJP': -0.02349533333333335, 'decision': 0.0, 'Odisha': 0.596109}"
14,14,{},"{'Minister Narendra Modi': 0.9298724, 'sacrifice': 0.5906985, 'bombs': -0.805281, 'Bhagat Singh associate': -0.45377, 'police': -0.4076605, 'chief Rahul Gandhi': 0.5240098, 'Lala Lajpat Rai': 0.0, 'fighters': -0.17189450000000003, 'freedom fighters': -0.17189450000000003, 'Finance Minister Arun': 0.9298724, 'associate Batukeshwar Dutt': -0.27177366666666664, 'tribute': 0.669077, 'martyrs': 0.0, 'Delhi Chief Minister': 0.43482750000000003, 'fighters Bhagat Singh': -0.3040434, 'Rajguru': 0.0, 'Rahul Gandhi followers': -0.1827305, 'Lala Rajpat Rai': 0.0, 'Shivaram Rajguru': 0.0, 'Singh': -0.47682475, 'Congress chief': 0.5240098, 'Jatin Das': 0.0, 'courage': 0.986919, 'generations': 0.961214, 'Central legislative assembly': -0.805281, 'Bhagat Singh': -0.47682475, 'death': 0.0, 'supreme sacrifice': 0.5906985, 'prominent leaders': 0.0}","{'huge amounts': 0.294544, 'Minister Narendra Modi': 0.1353145, 'truth': -0.5901, 'farmers': -0.4726165, 'minimum': 0.0, 'cell phones': -0.614904, 'rest': 0.877394, 'dates': 0.0, 'Bihar': -0.523143, 'private planes': -0.614904, 'president Rahul Gandhi': -0.45692350000000004, 'flop picture': -0.7681475, 'minimum income line': -0.2787835, 'brother': 0.564249, 'Congress president': -0.012150999999999986, 'Anil Ambani': -0.20711600000000002, 'chowkidar': -0.69377, 'money': -0.345167, 'Congress chief': -0.012150999999999986, 'Chowkidar': -0.69377, 'Congress': -0.012150999999999986, 'luxurious cars': -0.6120375, 'pocket': -0.582309, 'Prime Minister': 0.579191, 'picture': -0.7681475, 'calls': -0.614904, 'irony': -0.860708, 'people': 0.6255875, 'Rahul Gandhi': -0.45692350000000004, 'thing': 0.780502}"
15,15,"{'Saturday': 0.0, 'Government': 0.0, 'Helicopter': 0.0}","{'Defence Services Staff': 0.0, 'Navy': 0.0, 'Chief': 0.0, 'National Defence Academy': 0.0, 'Mumbai': 0.0, 'Visakhapatnam': 0.0, 'Indian Coast Guard': 0.0, 'Twitter': 0.0, 'defence spokesperson': 0.0, 'Wellington': 0.0, 'office': 0.0}","{'Officer Commanding Maharashtra': 0.0, 'Destroyers INS Rana': 0.0, 'Defence spokesperson': 0.0, 'alumnus': 0.0, 'Vishisht Seva Medal': 0.0, 'Chief': -0.185982, 'Government': -0.3254685, 'Staff': -0.16273425, 'prestigious Defence Services': 0.0, 'Flag Officer Commanding': 0.0, 'INS Delhi': 0.0, 'office': 0.0}"
16,16,"{'corruption cases': 0.0, 'prominent human rights': 0.0, 'Election Committee': 0.0, 'members': 0.0, 'Minister Narendra Modi': 0.827688, 'chairperson': 0.0, 'Vice President': 0.551792, 'India': 0.827688, 'President Ramnath Kovind': 0.551792, 'state levels': 0.0, 'Act': 0.0, 'Lokpal': 0.0, 'judicial members': 0.0, 'tentative date': 0.0, 'Attorney General KK': 0.0, 'meeting': 0.0, 'strength': -0.723994, 'place': 0.0, 'Schedule Caste': -0.723994, 'Lokpal Selection Committee': 0.0, 'President Ram Nath': 0.551792, 'appointment': 0.0, 'Backward Classes': -0.723994, 'member': 0.0, 'central level': 0.0}","{'February-end deadline': 0.796116, 'Minister Narendra Modi': 0.5202468, 'Pradip Kumar Mohanty': 0.0, 'Twitter': 0.0, 'Prime': 0.6503085, 'Chief Justice': 0.0995145, 'Prime Minister Modi': 0.5202468, 'allegations': 0.0, 'panel': 0.796116, 'Justices': 0.0995145, 'President': 0.0, 'President Ram Nath': 0.0, 'parliamentarians': 0.0, 'Justices Dilip': 0.0995145}","{'Mahender Singh': 0.0, 'charge': 0.0, 'judicial members': 0.0, 'Kumar Tripathi': -0.158293, 'jurist Mukul Rohatgi': 0.0, 'Lok': 0.0, 'India Ranjan Gogoi': 0.19791, 'Indrajeet Prasad Gautam': 0.0, 'Lok Sabha Mallikarjun': 0.0, 'Calcutta High Court': -0.11871975, 'Chief Justice': -0.04804166666666668, 'judge': -0.158293, 'India': 0.19791, 'anti-corruption ombudsman': -0.474879, 'Selection Committee': 0.0, 'Archana Ramasundaram': 0.0, 'Speaker Sumitra Mahajan': 0.0, 'Congress leader': 0.0, 'Lokpal Act': 0.03903960000000001, 'Lokpal': 0.03903960000000001, 'law': 0.0}"
17,17,"{'April-May Lok Sabha': 0.0, 'Congress': 0.0, 'Vikramaditya Singh': 0.0, 'Moradabad': 0.0, 'list': 0.0, 'Imran Pratapgarhiya': 0.0, 'chief Raj Babbar': 0.0, 'Union': 0.0}","{'leader Renuka Chowdhary': 0.0, 'Khammam': 0.0, 'Ms': 0.0, 'Telangana Rashtra Samithi': 0.0, 'Nageswara Rao': 0.0, 'Telangana': 0.0, 'TRS': 0.0, 'Twitter': -0.715425, 'TDP TDP': 0.0, 'Congress': 0.0, 'Nama Nagrswara Rao': 0.0, 'seat': -0.17885625, 'P. Srinivas Reddy': 0.0, 'Ms Chowdhary': 0.0, 'Renuka Chowdhary': 0.0, 'decision': 0.0, 'seats': -0.17885625}","{'Puri': 0.0, 'seats': 0.26998300000000003, 'absolute majority': 0.0, 'party': 0.06777199999999999, 'Andhra Pradesh': 0.596109, 'president Amit Shah': 0.4049745, 'names': 0.8043785, 'Amit Shah': 0.4049745, 'BJP BJP': -0.02349533333333335, 'seat': 0.26998300000000003, 'Bharatiya Janata Party': 0.06777199999999999, 'government': 0.0, 'Daman': 0.596109, 'list': 0.270468, 'Sambit Patra': -0.869294, 'National Democratic Alliance': -0.434647, 'BJP': -0.02349533333333335, 'decision': 0.0, 'Odisha': 0.596109}"
18,18,"{'Union Minister Nitin': 0.0, 'Assam': 0.0, 'Meghalaya': 0.0, 'MPs': 0.0, 'Maharashtra': 0.0}","{'names': -0.565801, 'Assam': 0.0, 'Meghalaya': 0.0, 'Friday night': -0.2829005, 'Maharashtra': 0.0, 'list': -0.565801, 'Sambit Patra': 0.0, 'Twitter': -0.715425, 'general election': -0.35771250000000004, 'Friday': -0.2829005}","{'Puri': 0.0, 'president Amit Shah': 0.4049745, 'names': 0.8043785, 'Central Elections Commission': -0.137248, 'seat': 0.26998300000000003, 'government': 0.0, 'Daman': 0.596109, 'National Democratic Alliance': -0.434647, 'seats': 0.26998300000000003, 'elections': -0.137248, 'absolute majority': 0.0, 'party': 0.06777199999999999, 'Prime Minister Modi': 0.7582682000000001, 'minister JP Nadda': 0.7582682000000001, 'Amit Shah': 0.4049745, 'Bharatiya Janata Party': 0.06777199999999999, 'list': 0.270468, 'Sambit Patra': -0.869294, 'decision': 0.0, 'Odisha': 0.596109}"
19,19,"{'President Ram Nath': 0.288561, 'Narendra Modi appointment': 0.04064099999999998, 'ceremony': 0.700351}","{'February-end deadline': 0.796116, 'Minister Narendra Modi': 0.5202468, 'Pradip Kumar Mohanty': 0.0, 'Twitter': 0.0, 'Prime': 0.6503085, 'Prime Minister Modi': 0.5202468, 'allegations': 0.0, 'panel': 0.796116, 'President': 0.0, 'President Ram Nath': 0.0, 'parliamentarians': 0.0}","{'Mahender Singh': 0.0, 'charge': 0.0, 'judicial members': 0.0, 'Kumar Tripathi': -0.158293, 'jurist Mukul Rohatgi': 0.0, 'Lok': 0.0, 'India Ranjan Gogoi': 0.19791, 'Indrajeet Prasad Gautam': 0.0, 'Lok Sabha Mallikarjun': 0.0, 'India': 0.19791, 'anti-corruption ombudsman': -0.474879, 'Selection Committee': 0.0, 'Archana Ramasundaram': 0.0, 'Speaker Sumitra Mahajan': 0.0, 'Congress leader': 0.0, 'Lokpal Act': 0.03903960000000001, 'Lokpal': 0.03903960000000001, 'law': 0.0}"
20,20,"{'candidates': 0.0, 'NDA': 0.0, 'Vikramaditya Singh': 0.0, 'Assam': 0.0, 'Girish Chandra': 0.0, 'Maharashtra': 0.0, 'party': 0.0, 'Moradabad': 0.0, 'Kunwar Danish Ali': 0.0, 'Ali': 0.0, 'Imran Pratapgarhiya': 0.0, 'Meghalaya': 0.0, 'candidate': 0.0, 'Andhra': 0.0, 'Congress': 0.0, 'Andhra Pradesh': 0.0, 'Congress nominee': 0.0, 'Bharatiya Janata Party': 0.0, 'Janata Dal-Secular': 0.0, 'Odisha': 0.0}","{'Nana Patole': 0.0, 'times': 0.801679, 'Chandrapur': 0.801679, 'Nitin Gadkari': -0.00458900000000001, 'Nagpur': 0.0, 'Priya Dutt': -0.53917, 'Subhash Bhamre': 0.296402, 'Ms Mahajan Mumbai': -0.638083, 'Gandhi': -0.931152, 'BJP': -0.6102845, 'Beed': -0.53917, 'political families': -0.638083, 'Sujay Vikhe Patil': -0.465576, 'Sujay': -0.931152, 'Latur MP Sunil': -0.8704655, 'Maharashtra': -0.804764, 'Twitter': -0.715425, 'Ms Mahajan': -0.638083, 'Congress': -0.3398405, 'BJP BJP': -0.6102845, 'State BJP chief': -0.6499021666666667, 'Pritam Munde': -0.5886264999999999, 'Congress leader': -0.3398405, 'Mr Ahir': -0.8155245}","{'Puri': 0.0, 'candidates': 0.443544, 'absolute majority': 0.0, 'party': 0.06777199999999999, 'candidate': 0.443544, 'Andhra Pradesh': 0.596109, 'president Amit Shah': 0.4049745, 'names': 0.8043785, 'Amit Shah': 0.4049745, 'BJP BJP': -0.02349533333333335, 'seat': 0.26998300000000003, 'Bharatiya Janata Party': 0.06777199999999999, 'government': 0.0, 'Daman': 0.596109, 'National Democratic Alliance': -0.434647, 'Sambit Patra': -0.869294, 'BJP': -0.02349533333333335, 'Odisha': 0.596109, 'decision': 0.0, 'seats': 0.26998300000000003}"
