ID_1,ndtv_dd_wordnet
14,"{'hang': ['partially', 0.33], 'day': ['birth', 0.17], 'death': ['boom', 0.17], 'freedom': ['today', 0.17], 'responsible': ['temp', 0.84], 'murder': ['development', 0.14], 'wage': ['wage', 1.0], 'bow': ['random-access_memory', 0.11]}"
15,"{'naval': ['naval', 1.0], 'frailty': ['frailty', 1.0], 'staff': ['staff', 1.0], 'helicopter': ['helicopter', 1.0], 'command': ['command', 1.0], 'military_officer': ['military_officer', 1.0], 'serve': ['serve', 1.0], 'appoint': ['appoint', 1.0], 'chief': ['chief', 1.0], 'pilot': ['pilot', 1.0], 'following': ['following', 1.0], 'career': ['career', 1.0], 'flag': ['flag', 1.0], 'eastern': ['eastern', 1.0], 'year': ['phase', 0.33], 'seating': ['present', 0.12]}"
16,"{'justice': ['justice', 1.0], 'curse': ['tribe', 0.11], 'court': ['court', 1.0], 'administer': ['administer', 1.0], 'president': ['president', 1.0], 'judge': ['military_officer', 0.2], 'office': ['office', 1.0], 'corruptness': ['corruptness', 1.0], 'human': ['human', 1.0], 'chief': ['chief', 1.0], 'serve': ['harmonize', 0.17], 'probe': ['agenda', 0.09], 'first': ['first', 1.0], 'random-access_memory': ['random-access_memory', 1.0], 'lead': ['lead', 1.0], 'parliamentarian': ['woman', 0.14], 'take': ['take', 1.0], 'week': ['fortnight', 0.33], 'retired': ['retired', 1.0], 'judicial': ['judicial', 1.0], 'approve': ['approve', 1.0], 'right': ['right', 1.0], 'convict': ['convict', 1.0], 'frailty': ['frailty', 1.0], 'ceremony': ['meet', 0.17], 'presence': ['caste', 0.2], 'member': ['member', 1.0], 'post': ['topographic_point', 0.25], 'state': ['state', 1.0], 'committee': ['committee', 1.0]}"
17,"{'party': ['party', 1.0], 'join': ['let_go_of', 0.33], 'elect': ['nominate', 0.25], 'field': ['kashmir', 0.25], 'campaigner': ['campaigner', 1.0], 'list': ['list', 1.0], 'announce': ['announce', 1.0], 'day': ['unit_of_measurement', 0.2], 'leader': ['head', 0.5], 'election': ['election', 1.0], 'friday': ['friday', 1.0], 'union': ['union', 1.0], 'former': ['former', 1.0], 'curate': ['curate', 1.0]}"
18,"{'list': ['list', 1.0], 'campaigner': ['campaigner', 1.0], 'name_calling': ['name_calling', 1.0], 'announce': ['announce', 1.0], 'phase': ['phase', 1.0], 'incorporate': ['incorporate', 1.0], 'polls': ['polls', 1.0], 'let_go_of': ['let_go_of', 1.0], 'include': ['include', 1.0], 'besides': ['besides', 1.0], 'constituency': ['union', 0.2], 'assam': ['assam', 1.0], 'night': ['night', 1.0], 'keep': ['keep', 1.0]}"
19,"{'justice': ['justice', 1.0], 'curse': ['curse', 1.0], 'court': ['court', 1.0], 'administer': ['administer', 1.0], 'panel': ['panel', 1.0], 'president': ['president', 1.0], 'judge': ['judge', 1.0], 'office': ['office', 1.0], 'sit': ['first', 0.33], 'right': ['right', 1.0], 'lead': ['lead', 1.0], 'curate': ['curate', 1.0], 'take': ['take', 1.0], 'week': ['june', 0.2], 'premier': ['premier', 1.0], 'human': ['human', 1.0], 'ceremony': ['ceremony', 1.0], 'member': ['member', 1.0], 'state': ['state', 1.0], 'committee': ['committee', 1.0]}"
20,"{'list': ['list', 1.0], 'congress': ['congress', 1.0], 'times': ['unit_of_measurement', 0.17], 'contest': ['contest', 1.0], 'raver': ['deserter', 0.2], 'first': ['first', 1.0], 'campaigner': ['campaigner', 1.0], 'get_the_better_of': ['let_go_of', 0.33], 'state': ['polls', 0.12], 'retain': ['include', 0.33], 'party': ['party', 1.0], 'constituency': ['constituency', 1.0]}"
21,"{'terrorist': ['terrorist', 1.0], 'travel': ['kill', 0.33], 'district': ['district', 1.0], 'believe': ['believe', 1.0], 'details': ['conspiracy', 0.17], 'force': ['force', 1.0], 'area': ['area', 1.0], 'official': ['adjutant', 0.2], 'security': ['security', 1.0], 'election': ['operations', 0.2], 'chirrup': ['fire', 0.25], 'seating': ['operation', 0.11], 'get': ['search', 0.09]}"
22,"{'separatist': ['separatist', 1.0], 'high': ['high', 1.0], 'day': ['day', 1.0], 'national': ['national', 1.0], 'event': ['event', 1.0], 'boycott': ['boycott', 1.0], 'delhi': ['lahore', 0.33], 'representative': ['representative', 1.0], 'tension': ['personal_business', 0.11], 'reception': ['reception', 1.0], 'committee': ['committee', 1.0], 'kashmir': ['kashmir', 1.0], 'pakistan': ['pakistan', 1.0], 'confide': ['express', 0.17], 'government': ['union', 0.25], 'decide': ['decide', 1.0], 'leadership': ['leadership', 1.0], 'year': ['year', 1.0], 'difference': ['degree', 0.2], 'communications': ['representation', 0.2], 'resolution': ['resolution', 1.0], 'host': ['prosecute', 0.17], 'state': ['state', 1.0], 'attend': ['attend', 1.0], 'observe': ['observe', 1.0], 'scheme': ['plan', 0.33], 'necktie': ['medium', 0.12], 'mark': ['mark', 1.0]}"
23,"{'ban': ['ban', 1.0], 'promotion': ['promotion', 1.0], 'leadership': ['administration', 0.33], 'terrorism': ['enforcement', 0.25], 'activity': ['activity', 1.0], 'malik': ['malik', 1.0], 'originator': ['peer', 0.25], 'improper': ['improper', 1.0], 'liberation': ['liberation', 1.0], 'separatist': ['secessionist', 0.33], 'secretary': ['leader', 0.33], 'centre': ['centre', 1.0], 'home': ['residence', 0.5], 'agency': ['agency', 1.0], 'support': ['foreign', 0.33], 'case': ['case', 1.0], 'law': ['law', 1.0], 'command': ['order', 0.5], 'brass': ['part', 0.17], 'harmonize': ['harmonize', 1.0], 'top': ['area', 0.2], 'summer': ['calendar_month', 0.25], 'financing': ['punishment', 0.12], 'colonel': ['official', 0.14], 'elements': ['exchange', 0.14], 'commissariat': ['commissariat', 1.0]}"
24,"{'pakistan': ['pakistan', 1.0], 'khan': ['leader', 0.25], 'separatist': ['apologist', 0.33], 'committee': ['union', 0.2], 'message': ['language', 0.33], 'panic': ['integrity', 0.17], 'day': ['day', 1.0], 'greeting': ['statement', 0.25], 'invite': ['take_down', 0.2], 'new': ['surface-to-air_missile', 0.98], 'event': ['action', 0.33], 'state': ['state', 1.0], 'confine': ['senior', 0.33], 'send': ['rake', 0.33], 'deter': ['admit', 0.2], 'mark': ['differentiation', 0.14], 'national': ['national', 1.0], 'force': ['force', 1.0], 'attack': ['antic', 0.2], 'issue': ['world', 0.25], 'curate': ['curate', 1.0], 'take': ['react', 0.33]}"
25,"{'cricketer': ['cricketer', 1.0], 'contest': ['final', 0.33], 'influence': ['influence', 1.0], 'join': ['join', 1.0], 'vision': ['vision', 1.0], 'post': ['side', 0.17], 'party': ['party', 1.0], 'politics': ['following', 0.14], 'former': ['former', 1.0], 'election': ['game', 0.17], 'stretch': ['fifties', 0.2], 'kitchen': ['cup', 0.12], 'welcome': ['presence', 0.17], 'initiation': ['performance', 0.17], 'remark': ['statement', 0.5], 'cricket': ['cricket', 1.0], 'run': ['travel', 0.33], 'state': ['state', 1.0], 'falls': ['universe', 0.2], 'delhi': ['delhi', 1.0], 'suicide': ['introduction', 0.17], 'incident': ['win', 0.2], 'campaigner': ['curate', 0.17]}"
26,"{'news': ['name_calling', 0.14], 'campaigner': ['campaigner', 1.0], 'election': ['election', 1.0], 'release': ['release', 1.0], 'constituency': ['union', 0.2], 'get_down': ['first', 0.33], 'let_go_of': ['let_go_of', 1.0], 'april': ['thursday', 0.12], 'state': ['state', 1.0], 'party': ['party', 1.0], 'chirrup': ['contest', 0.17], 'general': ['general', 1.0]}"
27,"{'acquit': ['acquit', 1.0], 'swami': ['swami', 1.0], 'blast': ['blast', 1.0], 'panic': ['manner', 0.12], 'dead': ['dead', 1.0], 'accuse': ['accuse', 1.0], 'attack': ['test', 0.2], 'work_force': ['police', 0.33], 'probe': ['probe', 1.0], 'case': ['case', 1.0], 'train': ['train', 1.0], 'people': ['people', 1.0], 'court': ['court', 1.0], 'hyderabad': ['side', 0.11], 'rend': ['rend', 1.0], 'agency': ['agency', 1.0], 'coach': ['coach', 1.0]}"
28,"{'bank': ['response', 0.11], 'fraud': ['fraud', 1.0], 'recognition': ['request', 0.25], 'illegal': ['london', 0.73], 'magistrate': ['magistrate', 1.0], 'fleeting': ['fleeting', 1.0], 'rise': ['travel', 0.5], 'chief': ['chief', 1.0], 'case': ['case', 1.0], 'victimize': ['victimize', 1.0], 'roentgen': ['roentgen', 1.0], 'india': ['india', 1.0], 'citizenship': ['metropolitan', 0.12], 'produce': ['produce', 1.0], 'enforcement': ['enforcement', 1.0], 'staff': ['government', 0.2], 'week': ['days', 0.25], 'court': ['court', 1.0], 'state': ['state', 1.0], 'publish': ['publish', 1.0], 'collar': ['collar', 1.0], 'indian': ['indian', 1.0], 'january': ['march', 0.33], 'come': ['come', 1.0]}"
29,"{'torch': ['burn', 0.5], 'incident': ['incident', 1.0], 'coach': ['man', 0.17], 'case': ['case', 1.0], 'particular': ['particular', 1.0], 'life': ['life', 1.0], 'court': ['court', 1.0], 'convict': ['convict', 1.0], 'news': ['submission', 0.25], 'connection': ['connection', 1.0], 'slaughter': ['slaughter', 1.0], 'train': ['train', 1.0], 'gujarat': ['gujarat', 1.0], 'sentence': ['sentence', 1.0], 'test': ['test', 1.0], 'agency': ['police', 0.33], 'jail': ['jail', 1.0], 'put': ['put', 1.0], 'collar': ['collar', 1.0], 'year': ['old_age', 0.25], 'cardinal': ['cardinal', 1.0], 'election': ['imprisonment', 0.17]}"
30,"{'blast': ['blast', 1.0], 'case': ['case', 1.0], 'court': ['court', 1.0], 'acquit': ['acquit', 1.0], 'accuse': ['accuse', 1.0], 'particular': ['particular', 1.0], 'news': ['people', 0.14]}"
31,"{'have': ['agreed', 0.33], 'wish': ['integrity', 0.2], 'medium': ['medium', 1.0], 'khan': ['participant', 0.17], 'adorable': ['code', 0.63], 'picture': ['letter', 0.25], 'celebration': ['political_campaign', 0.17], 'family': ['team', 0.33], 'degree_fahrenheit': ['coordinate', 0.14], 'caption': ['promise', 0.2], 'social': ['social', 1.0], 'kartik': ['time_period', 0.25]}"
32,"{'bank': ['bank', 1.0], 'fraud': ['attempt', 0.17], 'group': ['connection', 0.25], 'national': ['national', 1.0], 'billionaire': ['wrongdoer', 0.2], 'fleeting': ['fleeting', 1.0], 'come': ['come', 1.0], 'desire': ['back', 0.33], 'case': ['case', 1.0], 'victimize': ['victimize', 1.0], 'cent': ['sri_lanka_rupee', 0.5], 'magistrate': ['magistrate', 1.0], 'united_kingdom': ['district', 0.2], 'guarantee': ['request', 0.2], 'station': ['vehicle', 0.17], 'citizenship': ['apprehension', 0.12], 'uncle': ['wife', 0.2], 'produce': ['produce', 1.0], 'enforcement': ['enforcement', 1.0], 'recognition': ['permission', 0.33], 'staff': ['government', 0.2], 'cardinal': ['london', 0.92], 'week': ['days', 0.25], 'chief': ['chief', 1.0], 'military_officer': ['official', 0.25], 'state': ['state', 1.0], 'publish': ['publish', 1.0], 'collar': ['collar', 1.0], 'january': ['march', 0.33], 'agency': ['directorate', 0.2], 'india': ['india', 1.0], 'ask': ['repeat', 0.2], 'court': ['court', 1.0]}"
33,"{'goa': ['goa', 1.0], 'strength': ['strength', 1.0], 'win': ['former', 0.33], 'floor': ['floor', 1.0], 'trial': ['trial', 1.0], 'brawl': ['continue', 0.11], 'day': ['death', 0.17], 'mugwump': ['mugwump', 1.0], 'resignation': ['resignation', 1.0], 'head': ['legislator', 0.25], 'highlight': ['gesture', 0.12], 'allies': ['alliance', 0.5], 'development': ['resistance', 0.17], 'centimeter': ['centimeter', 1.0], 'party': ['party', 1.0], 'speaker': ['speaker', 1.0], 'claim': ['condolence', 0.14], 'assurance': ['assurance', 1.0], 'get': ['earn', 0.5], 'curate': ['curate', 1.0], 'vote': ['vote', 1.0], 'government': ['government', 1.0], 'death': ['win', 0.17], 'follow': ['follow', 1.0], 'support': ['support', 1.0], 'house': ['house', 1.0], 'new': ['new', 1.0]}"
34,"{'contest': ['political_campaign', 0.33], 'west': ['west', 1.0], 'fifth': ['two', 0.78], 'list': ['list', 1.0], 'campaigner': ['campaigner', 1.0], 'election': ['election', 1.0], 'congress': ['congress', 1.0], 'party': ['party', 1.0], 'general': ['general', 1.0]}"
35,"{'justice': ['justice', 1.0], 'court': ['court', 1.0], 'judge': ['judge', 1.0], 'appoint': ['appoint', 1.0], 'kolkata': ['india', 0.14], 'former': ['former', 1.0], 'chief': ['chief', 1.0], 'member': ['member', 1.0], 'judicial': ['judicial', 1.0], 'cell': ['state', 0.33], 'president': ['secretary', 0.17], 'first': ['first', 1.0], 'retire': ['retire', 1.0]}"
36,"{'campaigner': ['campaigner', 1.0], 'sit': ['first', 0.33], 'seat': ['topographic_point', 0.14], 'congress': ['meeting', 0.2], 'new': ['new', 1.0], 'confront': ['take', 0.25], 'seating': ['seating', 1.0], 'state': ['state', 1.0], 'first': ['list', 0.88], 'polls': ['polls', 1.0], 'election': ['election', 1.0], 'leader': ['leader', 1.0], 'performance': ['meet', 0.17], 'phase': ['phase', 1.0], 'schedule': ['schedule', 1.0], 'april': ['march', 0.33], 'monday': ['tuesday', 0.33]}"
37,"{'phase': ['phase', 1.0], 'constituency': ['constituency', 1.0], 'travel': ['travel', 1.0], 'election': ['election', 1.0], 'procedure': ['procedure', 1.0], 'bengal': ['sikkim', 0.33], 'state': ['state', 1.0], 'seating': ['seating', 1.0], 'alliance': ['articulation', 0.12], 'publish': ['publish', 1.0], 'document': ['section', 0.33], 'polls': ['polls', 1.0], 'picture': ['sum', 0.17], 'continue': ['prosecute', 0.33], 'get_down': ['get_down', 1.0], 'committee': ['committee', 1.0], 'spouse': ['student', 0.2], 'spread': ['victory', 0.17], 'poll': ['fact', 0.11], 'seat': ['district', 0.2]}"
38,"{'goa': ['goa', 1.0], 'competition': ['politics', 0.2], 'practitioner': ['doctor', 0.2], 'death': ['duty', 0.14], 'party': ['party', 1.0], 'curse': ['curse', 1.0], 'legislative': ['legislative', 1.0], 'legislator': ['governor', 0.33], 'speaker': ['speaker', 1.0], 'assembly': ['office', 0.11], 'post': ['post', 1.0], 'curate': ['curate', 1.0], 'yield': ['chief', 0.33], 'bachelor': ['mugwump', 0.17], 'chairmanship': ['support', 0.2], 'background': ['secrecy', 0.17], 'maestro': ['farmer', 0.25], 'allies': ['allies', 1.0], 'confront': ['take', 0.25], 'college': ['profession', 0.25], 'message': ['put', 0.17], 'new': ['new', 1.0]}"
39,"{'diamond': ['jewelry', 0.33], 'westminster': ['westminster', 1.0], 'report': ['inform', 0.5], 'warrant': ['warrant', 1.0], 'extradition': ['extradition', 1.0], 'request': ['request', 1.0], 'desire': ['thereafter', 0.33], 'court': ['court', 1.0], 'reporter': ['interior_designer', 0.17], 'publish': ['publish', 1.0], 'order': ['apprehension', 0.14], 'extradite': ['put', 0.25], 'uncle': ['uncle', 1.0], 'year': ['year', 1.0], 'investigate': ['investigate', 1.0], 'issue': ['issue', 1.0], 'enforcement': ['proceeding', 0.2], 'government': ['police', 0.2]}"
40,"{'deputation': ['party', 0.33], 'president': ['president', 1.0], 'permission': ['agreement', 0.2], 'live': ['congress', 0.97], 'gandhi': ['gandhi', 1.0], 'get': ['resistance', 0.11], 'election': ['election', 1.0], 'march': ['calendar_month', 0.33], 'tuesday': ['saturday', 0.33], 'state': ['state', 1.0], 'complain': ['danish', 0.33], 'leader': ['leader', 1.0], 'keep': ['keep', 1.0], 'administration': ['deal', 0.17], 'land': ['side', 0.2], 'meet': ['meet', 1.0], 'part': ['loan', 0.17], 'earlier': ['earlier', 1.0], 'agenda': ['possibility', 0.14], 'chirrup': ['reverse', 0.25], 'news': ['news', 1.0]}"
41,"{'phase': ['phase', 1.0], 'constituency': ['constituency', 1.0], 'travel': ['travel', 1.0], 'election': ['election', 1.0], 'nomination': ['nomination', 1.0], 'bengal': ['district', 0.25], 'march': ['calendar_month', 0.33], 'state': ['state', 1.0], 'seating': ['seating', 1.0], 'procedure': ['procedure', 1.0], 'alliance': ['alliance', 1.0], 'publish': ['publish', 1.0], 'document': ['document', 1.0], 'polls': ['polls', 1.0], 'pit': ['component', 0.14], 'formula': ['canard', 0.17], 'picture': ['assembly', 0.12], 'continue': ['react', 0.33], 'get_down': ['get_down', 1.0], 'committee': ['committee', 1.0], 'campaigner': ['gandhi', 0.25], 'spread': ['victory', 0.17], 'force': ['confusion', 0.12], 'number': ['pitch', 0.17]}"
42,"{'campaigner': ['campaigner', 1.0], 'assembly': ['assembly', 1.0], 'polls': ['polls', 1.0], 'seating': ['yesterday', 0.11], 'join': ['include', 0.33], 'power': ['today', 0.17], 'party': ['party', 1.0], 'better': ['finalize', 0.25], 'chief': ['seat', 0.91], 'election': ['election', 1.0], 'announce': ['announce', 1.0], 'news': ['list', 0.25]}"
43,"{'defense_mechanism': ['defense_mechanism', 1.0], 'join': ['mortal', 0.33], 'respects': ['respects', 1.0], 'state': ['state', 1.0], 'last': ['last', 1.0], 'mourn': ['mourn', 1.0], 'afternoon': ['death', 0.12], 'ailment': ['silence', 0.2], 'beach': ['beach', 1.0], 'national': ['goa', 0.97], 'leader': ['leader', 1.0], 'command': ['contribution', 0.17], 'curate': ['curate', 1.0], 'college': ['people', 0.2], 'pay': ['pay', 1.0], 'frail': ['centimeter', 0.17], 'pancreatic': ['pancreatic', 1.0], 'simplicity': ['simplicity', 1.0], 'tube': ['body', 0.12], 'allies': ['union', 0.25], 'affection': ['sorrow', 0.25], 'remember': ['remember', 1.0], 'stay': ['stay', 1.0], 'majority': ['manner', 0.17], 'school': ['academy', 0.33]}"
44,"{'convert': ['indian', 0.25], 'political_campaign': ['political_campaign', 1.0], 'enthusiasm': ['status', 0.25], 'medium': ['medium', 1.0], 'follow': ['follow', 1.0], 'social': ['social', 1.0], 'history': ['history', 1.0], 'chirrup': ['chirrup', 1.0], 'premier': ['premier', 1.0], 'chief': ['chief', 1.0], 'rejoinder': ['resistance', 0.17], 'message': ['narrative', 0.25], 'watchfulness': ['goal', 0.14], 'ebb': ['handle', 0.11], 'curate': ['curate', 1.0], 'trader': ['jobber', 0.17], 'soil': ['tandem', 0.11], 'capitalism': ['leadership', 0.12], 'manner': ['crescendo', 0.2], 'title': ['title', 1.0], 'union': ['party', 0.33], 'assert': ['allege', 0.5], 'harsh': ['harsh', 1.0], 'match': ['match', 1.0], 'return': ['travel', 0.5], 'stand': ['look', 0.25], 'change': ['change', 1.0]}"
